1 22
2 14
2 22
3 14
3 15
3 23
4 15
4 23
5 15
5 22
6 15
6 22
7 14
7 16
7 20
7 22
8 6
8 7
8 8
8 9
8 13
8 16
8 21
8 23
8 24
8 25
9 5
9 10
9 11
9 12
9 16
9 25
10 4
10 17
10 23
10 24
11 3
11 16
11 21
11 22
12 3
13 3
14 3
15 3
16 3
17 3
18 3
19 3
21 3
22 3
23 3
24 3
25 3
26 3
27 3
27 4
28 4
29 4
30 3
30 4
31 3
32 3
33 3
33 4
33 5
33 6
34 6
34 7
34 8
34 9
35 9
36 9
36 10
37 10
37 11
38 11
38 12
39 12
40 12
40 13
40 14
41 14
41 15
42 15
42 16
43 16
43 17
44 17
44 18
45 18
45 19
46 19
47 19
48 19
48 20
49 20
50 18
50 19
50 20
51 14
51 15
51 16
51 17
51 18
52 9
52 10
52 11
52 12
52 13
52 14
53 8
53 9
54 7
54 8
55 7
56 7
57 7
58 6
58 7
59 6
60 5
60 6
61 4
61 5
62 3
62 4
63 3
64 3
65 3
66 3
67 3
68 3
69 3
69 4
70 4
71 4
72 4
72 5
73 5
74 5
75 5
76 5
77 5
78 5
79 5
80 5
80 6
81 6
82 6
83 4
83 5
84 3
84 4
85 3
86 3
86 4
87 4
88 4
89 3
89 4
90 4
90 5
91 5
91 6
92 6
93 6
94 6
95 6
95 7
96 7
96 8
97 8
98 8
99 7
99 8
99 9
99 10
100 10
101 10
101 11
102 11
103 11
103 12
103 13
104 13
104 14
104 15
104 16
105 16
105 17
106 17
107 17
108 16
108 17
109 17
109 18
110 18
111 18
112 18
113 17
113 18
114 17
115 16
115 17
116 16
117 16
117 17
117 18
117 19
118 19
118 20
119 20
120 20
